AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street City,Street State,Street Zip,Street County,Phone,License Status,Owner,Admin/CEO,Licensed Beds,Profit Status,Web Address
11966869,11005,7/24/2021,7/23/2023,Assisted Living Facility,ALBORADA ALF INC,6006 N COOLIDGE AVE,TAMPA,FL,33614-5502,Hillsborough,(813) 454-6327,LICENSED,ALBORADA ALF INC.,YANET ARMAS,6,For-Profit,
11967878,11877,12/2/2022,12/1/2024,Assisted Living Facility,ALBORADA ALF INC,2114 W BURKE ST,TAMPA,FL,33604-5740,Hillsborough,(813) 454-6327,LICENSED,ALBORADA ALF INC.,YANET ARMAS,6,For-Profit,
11963945,7656,3/20/2021,3/19/2023,Assisted Living Facility,ALDEA GREEN,700 S KINGS AVE,BRANDON,FL,33511-5925,Hillsborough,(813) 662-0255,LICENSED,AMERICAN EAGLE BRANDON LLC,ODALYS RODRIGUEZ,120,Not-For-Profit,http://eagleseniorliving.org/
11968603,12505,5/19/2022,5/18/2024,Assisted Living Facility,ALF MORNING DEW,3501 E KNOLLWOOD ST,TAMPA,FL,33610-1627,Hillsborough,(813) 252-9182,LICENSED,"ALF MORNING DEW, INCORPORATED",OSIEL LIMA,6,For-Profit,
11963871,8761,3/4/2022,3/3/2024,Assisted Living Facility,ALF PHILLIPPE RIDGE,1055 PHILLIPPE PKWY,SAFETY HARBOR,FL,34695-2620,Pinellas,(727) 726-3632,LICENSED,ALF PHILLIPPE RIDGE INC.,MICHELLE BLEVIN COLEMAN,19,For-Profit,
11964960,9440,12/1/2021,11/30/2023,Assisted Living Facility,ALIMAR ASSISTED LIVING,2933 WEST COLUMBUS DRIVE,TAMPA,FL,33607,Hillsborough,(813) 350-9040,LICENSED,ALL CARE SENIOR LIVING LLC,MEREDITH BOND,56,For-Profit,www.alimarassistedliving.com
11967961,11942,2/16/2021,2/15/2023,Assisted Living Facility,ALLEGRO,800 WEST AZEELE ST,TAMPA,FL,33606,Hillsborough,(813) 254-1069,LICENSED,SHP V HYDE PARK LLC,JENNIFER ASTUTO ROTUNDA,156,For-Profit,www.allegroliving.com
11969085,12909,12/27/2022,12/26/2024,Assisted Living Facility,ALONDRA'S ALF LLC,1804 W FLORA ST,TAMPA,FL,33604,Hillsborough,(813) 407-2971,LICENSED,ALONDRA'S ALF LLC,ALINA FELIX,5,For-Profit,
11965351,9734,6/4/2021,6/3/2023,Assisted Living Facility,AMERICAN HOUSE LUTZ,414 CHAPMAN ROAD EAST,LUTZ,FL,33549,Hillsborough,(813) 909-9679,LICENSED,"AH Lutz OpCo, LLC",PEDRO RAMOS,104,For-Profit,www.americanhouse.com
11967821,11770,3/21/2022,3/30/2024,Assisted Living Facility,ANA ABUELOS ALF,2923 W IVY ST,TAMPA,FL,33607-1924,Hillsborough,(813) 748-1304,LICENSED,ABUELO'S ANA ALF INC,MARYLEYDIS LOPEZ-ALVAREZ,6,For-Profit,
11953224,8437,8/7/2021,8/6/2023,Assisted Living Facility,ANGELS GARDEN ACLF INC,8003 NORTH ROME AVENUE,TAMPA,FL,33604,Hillsborough,(813) 933-4585,LICENSED,ANGELS GARDEN ACLF INC,DELIA VALDES,20,For-Profit,
11968636,12507,1/14/2021,1/13/2023,Assisted Living Facility,ANGELS SENIOR LIVING AT NEW TAMPA LLC,14712 N 42ND ST,TAMPA,FL,33613-2955,Hillsborough,(813) 632-6370,IN REVIEW,"ANGELS SENIOR LIVING AT NEW TAMPA, LLC",ROBERT MARTIN,100,For-Profit,www.angelsseniorliving.com
11910092,6694,12/24/2022,12/23/2024,Assisted Living Facility,ANGELS SENIOR LIVING AT NORTH TAMPA,14527 NORTH FLORIDA AVENUE,TAMPA,FL,33613,Hillsborough,(813) 961-3072,LICENSED,"SHADY PALMS RETIREMENT HOMES, INC",JESSE PITTS,98,For-Profit,www.angelsseniorliving.com
11964801,9298,7/12/2021,7/11/2023,Assisted Living Facility,ANGELS SENIOR LIVING AT PALMA CEIA,3720 W BAY TO BAY BLVD,TAMPA,FL,33629-6912,Hillsborough,(813) 831-1914,LICENSED,"LIGHTHOUSE HEALTHCARE GROUP,LLC",DAYNA BOBAK,30,For-Profit,www.angelsseniorliving.com
11942972,8348,7/12/2021,7/11/2023,Assisted Living Facility,ANGELS SENIOR LIVING AT SOUTH TAMPA,3330 S MACDILL AVE,TAMPA,FL,33629-8822,Hillsborough,(813) 835-5700,LICENSED,"LIGHTHOUSE HEALTHCARE GROUP,LLC",DAYNA BOBAK,56,For-Profit,www.angelsseniorliving.com
11969078,12899,12/8/2022,12/7/2024,Assisted Living Facility,ANGELS SENIOR LIVING AT THE LODGES AT IDLEWILD,18440 EXCITING IDLEWILD BLVD,LUTZ,FL,33548,Hillsborough,(813) 264-8200,LICENSED,"ANGELS SENIOR LIVING AT THE LODGES OF IDLEWILD, LLC",BRIANNA CARTER,101,For-Profit,www.angelsseniorliving.com
11970096,13750,11/2/2022,11/1/2024,Assisted Living Facility,ANGELS SENIOR LIVING RESERVE OF IDLEWILD LLC,18420 EXCITING IDLEWILD BLVD,LUTZ,FL,33549,Hillsborough,(813) 886-2023,LICENSED,Angels Senior Living Reserve of Idlewild,ALCIDES SEGUI,120,For-Profit,
11969711,13458,5/8/2022,5/7/2024,Assisted Living Facility,ANGELS TCH INC,11216 MCMULLEN RD,RIVERVIEW,FL,33569,Hillsborough,(813) 412-6560,LICENSED,ANGELS TCH INC,CLIFTON SCOTT,6,For-Profit,
11969679,13422,2/24/2022,2/23/2024,Assisted Living Facility,ANNIE'S ALF,2601 CAMPUS HILL DR,TAMPA,FL,33612,Hillsborough,(813) 374-2817,LICENSED,BOYKINS GROUP LLC,LATONIA BOYKINS,6,For-Profit,anniesalftampa.com
11969647,13402,6/30/2022,6/29/2024,Assisted Living Facility,ANNIES AT LATANIA DR LLC,3413 LATANIA DR,TAMPA,FL,33618,Hillsborough,(813) 644-5752,LICENSED,ANNIES AT LATANIA DR LLC,MOHAMAD HARB,6,For-Profit,Bellavitaalf.com
11969774,13527,6/30/2022,6/29/2024,Assisted Living Facility,ANNIES AT CAPEBEND LLC,2011 CAPE BEND AVE,TAMPA,FL,33613,Hillsborough,(813) 543-8482,LICENSED,ANNIE'S AT CAPE BEND LLC,LATONIA BOYKINS,6,For-Profit,
11969578,13343,6/30/2022,6/29/2024,Assisted Living Facility,ANNIES AT LAKE MAGDALENE LLC,13202 LAKE MAGDALENE BLVD,TAMPA,FL,33618,Hillsborough,(813) 543-8482,LICENSED,ANNIES AT LAKE MAGDALENE LLC,LATONIA BOYKINS,6,For-Profit,
11968783,12657,11/12/2021,11/11/2023,Assisted Living Facility,ARBOR TERRACE CITRUS PARK,13810 SHELDON RD,TAMPA,FL,33626,Hillsborough,(813) 333-9996,LICENSED,SHP VI Tampa LLC,TERESA COVELLI,125,For-Profit,www.at-citruspark.com
11932616,49,9/12/2021,9/11/2023,Assisted Living Facility,ARBOR VILLAGE INC,13107 NORTH 22ND ST,TAMPA,FL,33612-3815,Hillsborough,(813) 972-3616,LICENSED,EYEL SANTOS COMPANY,EDWARD SANTOS,26,For-Profit,
11965292,9709,3/20/2022,3/19/2024,Assisted Living Facility,ARDEN COURTS (TAMPA),14950 CASEY RD,TAMPA,FL,33624,Hillsborough,(813) 963-6100,LICENSED,"ARDEN COURTS OF TAMPA FL, LLC",DENISE E WILIM,60,Not-For-Profit,www.promedica.org
11967757,11723,11/7/2022,11/6/2024,Assisted Living Facility,ARY'S ALF CENTER CORP,4513 DREISLER ST,TAMPA,FL,33634-7317,Hillsborough,(813) 374-3482,LICENSED,ARY'S ALF CENTERS CORP,NELKYS MARTINEZ GARCIA,6,For-Profit,
11968759,12602,3/23/2021,3/22/2023,Assisted Living Facility,ASSURED CARE ALF LLC,12209 MATCHFIELD WAY,RIVERVIEW,FL,33579,Hillsborough,(813) 239-7558,LICENSED,ASSURED CARE ALF LLC,JEFFREY S HILSMAN,6,For-Profit,
11969346,13136,2/26/2022,2/25/2024,Assisted Living Facility,ASSURED CARE ALF NORTH,2006 WRANGLER DR,BRANDON,FL,33511,Hillsborough,(813) 239-7558,LICENSED,ASSURED CARE ALF LLC,JEFFREY S HILSMAN,6,For-Profit,
11964056,8803,2/20/2022,2/19/2024,Assisted Living Facility,ATRIUM GARDENS ALF LLC,1513 W FLETCHER AVE,TAMPA,FL,33612-3315,Hillsborough,(813) 265-0844,LICENSED,"ATRIUM GARDENS ALF, LLC",KIMBERLY RICHARDSON,38,For-Profit,AtriumGardensALF.Com
11964082,8855,2/1/2021,1/31/2023,Assisted Living Facility,AUSTIN GROUP (THE),1011 VAN DYKE ROAD,LUTZ,FL,33548-4719,Hillsborough,(813) 948-6184,IN REVIEW,THE AUSTIN GROUP INC,KAREN BARCIA RODRIGUEZ,12,For-Profit,www.sweetwatermanor.com
11967864,11841,4/22/2022,4/21/2024,Assisted Living Facility,AVA CARES I,3005 BELL SHOALS ROAD,BRANDON,FL,33511,Hillsborough,(813) 300-6177,LICENSED,"AVA CARES, LLC",ROGER THOMAS DEROSA,6,For-Profit,
11965587,9939,4/1/2022,3/31/2024,Assisted Living Facility,AVENTURA BAY PLACE LLC,10401 ROOSEVELT BLVD,SAINT PETERSBURG,FL,33716,Pinellas,(727) 563-9733,LICENSED,Aventura Bay Place LLC,JONATHAN W. BRADFORD,105,For-Profit,https://bonsecours.com/st-petersburg/find-a-facility/bon-secours-place
11967379,11420,12/7/2022,12/6/2024,Assisted Living Facility,BAMBOO VILLAS ASSISTED LIVING FACILITY LLC,2730 W WILDER AVE,TAMPA,FL,33614-6809,Hillsborough,(813) 766-4018,LICENSED,"BAMBOO VILLAS ASSISTED LIVING FACILTY, LLC",RODOLFO C SUMULONG,24,For-Profit,www.bamboovillasalf.com
11968529,12409,12/17/2021,12/16/2023,Assisted Living Facility,BELLA ROSE ALF INC,804 W YUKON ST,TAMPA,FL,33604-1236,Hillsborough,(813) 455-6536,LICENSED,BELLA ROSE ALF INC,CAMILA GORGAL,6,For-Profit,bellarosealf.com
11967541,11573,8/2/2021,8/1/2023,Assisted Living Facility,BENRAC HOME ALF,910 BRIARCLIFF DRIVE,VALRICO,FL,33594,Hillsborough,(813) 453-4245,LICENSED,BENRAC TENDER CARE INC,OLUDOTUN ALEGE,6,For-Profit,
11968965,12795,5/16/2022,5/15/2024,Assisted Living Facility,BEST CARE SENIOR LIVING AT HERITAGE MANOR,1908 E 131ST AVE,TAMPA,FL,33612-4690,Hillsborough,(813) 977-7878,LICENSED,HERITAGE MANOR ASISTED LIVING FACILITY CORP,CRISTINA ARUTA,40,For-Profit,
11911240,7338,3/27/2021,3/26/2023,Assisted Living Facility,BEST CARE SENIOR LIVING AT SAINT JOSEPH,4406 MELTON AVE,TAMPA,FL,33614-7218,Hillsborough,(813) 870-1430,LICENSED,VIDA SERENA ASSISTED LIVING FACILITY INC,CRISTINA ARUTA,84,For-Profit,www.bestcareseniorliving.com
11969162,13007,8/9/2021,8/8/2023,Assisted Living Facility,BORMEY ASSISTED LIVING FACILITIES INC,6416 AMBASSADOR DR,TAMPA,FL,33615,Hillsborough,(813) 512-8569,LICENSED,BORMEY ASSISTED LIVING FACILITIES INC,LISET RODRIGUEZ-BORMEY,6,For-Profit,
11969862,13612,6/16/2021,6/15/2023,Assisted Living Facility,BRISAS DEL CARIBE ALF II,2205 SHERMONT PL,BRANDON,FL,33511,Hillsborough,(813) 454-5891,LICENSED,BRISAS DEL CARIBE ALF INC,JOSE M CARRENO,6,For-Profit,
11969323,13123,5/2/2022,5/1/2024,Assisted Living Facility,BRISAS DEL CARIBE ALF INC,2203 SHERMONT PL,BRANDON,FL,33511,Hillsborough,(813) 454-5891,LICENSED,BRISAS DEL CARIBE ALF INC,JOSE M CARRENO,6,For-Profit,www.brisasalf.com
11910005,7565,1/11/2021,1/10/2023,Assisted Living Facility,BROOKDALE BAYSHORE,4902 BAYSHORE BLVD,TAMPA,FL,33611-3870,Hillsborough,(813) 835-4475,IN REVIEW,"BLC TAMPA-GC, LLC",AMY JORDAN,190,For-Profit,www.brookdale.com
11969852,13611,6/16/2021,6/15/2023,Assisted Living Facility,BRYAN'S CHATEAU (THE),1803 POWDER RIDGE DR,VALRICO,FL,33594,Hillsborough,(813) 215-9577,LICENSED,BRYAN'S CHATEAU (THE),ICOLIN MAY BRYAN,5,For-Profit,
11969217,13032,10/17/2021,10/16/2023,Assisted Living Facility,C & Z SUNSHINE HEALTHCARE LLC,8233 DRY CREEK DR,TAMPA,FL,33615,Hillsborough,(813) 833-6700,LICENSED,"C&Z SUNSHINE HEALTHCARE, LLC",ZORA GUTIERREZ,6,For-Profit,
11969136,12961,5/7/2021,5/6/2023,Assisted Living Facility,C&V ASSISTED LIVING CORP,6005 N CAMERON AVE,TAMPA,FL,33614,Hillsborough,(305) 778-8352,LICENSED,C & V Assisted Living Corp,SANDRA VALDES,6,For-Profit,
11968008,11976,6/16/2021,6/15/2023,Assisted Living Facility,CAMERON ALF II,3122 W SLIGH AVE,TAMPA,FL,33614-4607,Hillsborough,(813) 405-8064,LICENSED,CAMERON ALF CORP,ALEXIS ARTEAGA,10,For-Profit,www.cameronalfcorp.com
11968418,12311,4/4/2021,4/3/2023,Assisted Living Facility,CAMERON ALF III CORP,3202 W MINNEHAHA ST,TAMPA,FL,33614,Hillsborough,(813) 405-8064,LICENSED,CAMERON ALF CORP,,8,For-Profit,www.cameronalfcorp.com
11970105,13753,12/2/2022,12/1/2024,Assisted Living Facility,CANTERBURY TOWERS INC,3501 BAYSHORE BLVD,TAMPA,FL,33629,Hillsborough,(813) 837-1083,LICENSED,"CANTERBURY TOWERS, INC.",CARIDAD VINAS,9,For-Profit,www.canterburytower.org
11970057,13723,9/1/2022,7/17/2024,Assisted Living Facility,CAPRI ALF CORP,7705 W HENRY AVE,TAMPA,FL,33615,Hillsborough,(813) 882-4853,LICENSED,CAPRI ALF CORP,JOSE RAFAEL CASALLAS,6,For-Profit,
11966361,10588,5/3/2021,5/2/2023,Assisted Living Facility,CAREGIVERS TOUCH ALF,4536 WEST IDLEWILD AVE,TAMPA,FL,33614,Hillsborough,(813) 881-1887,LICENSED,ORESBURN & ASSOSCIATES INC,NIURKA ALEJO,6,For-Profit,
11967974,11938,4/6/2021,4/5/2023,Assisted Living Facility,CAREGIVERS TOUCH ALF 2,7525 NORTH CAMERON AVENUE,TAMPA,FL,33614,Hillsborough,(813) 443-1546,LICENSED,ORESBURN & ASSOCIATES INC.,NIURKA ALEJO,6,For-Profit,
11968373,12261,9/5/2022,9/4/2024,Assisted Living Facility,CARMEN'S GOODCARE ALF CORP,908 W YUKON ST,TAMPA,FL,33604,Hillsborough,(813) 455-6536,LICENSED,CARMEN'S GOODCARE ALF CORP,CAMILA GORGAL,6,For-Profit,
11967888,11910,2/1/2021,1/31/2023,Assisted Living Facility,CASA DE LOS ABUELOS ALF,6521 WEST HANNA AVENUE,TAMPA,FL,33634,Hillsborough,(813) 443-3357,IN REVIEW,CASA DE LOS ABUELOS ALF CORP.,LOLIET M PEREZ,6,For-Profit,
11967494,11519,4/16/2021,4/15/2023,Assisted Living Facility,CASA LORETO ASSISTED LIVING FACILITY INC,3212 W KATHLEEN STREET,TAMPA,FL,33607,Hillsborough,(813) 870-0210,LICENSED,"CASA LORETO ASSISTED LIVING FACILITY, INC",YVONNE TORANZO,8,For-Profit,
11968173,12121,4/29/2021,4/28/2023,Assisted Living Facility,CASA SANTA MARTHA ALF INC,1917 W MOHAWK AVE,TAMPA,FL,33603,Hillsborough,(813) 392-1409,LICENSED,CASA SANTA MARTHA ALF INC,NEFER CAMEJO,6,For-Profit,
11965233,9717,5/3/2022,5/2/2024,Assisted Living Facility,CASTLE COURT ALF INC,9709 NORTH NEBRASKA AVENUE,TAMPA,FL,33612,Hillsborough,(813) 933-6333,LICENSED,"CASTLE COURT ALF, INC.",GEETHA JOSEPH,73,For-Profit,www.castlecourtalf.com
11966458,10691,3/31/2021,3/30/2023,Assisted Living Facility,CENTRAL TAMPA ASSISTED LIVING,5010 N 40TH ST,TAMPA,FL,33610-5202,Hillsborough,(813) 663-9696,LICENSED,FAMILY EXTENDED CARE OF CENTRAL TAMPA INC,WILLIAM BUKA,100,Not-For-Profit,www.centraltampaal.org
11967652,11670,11/9/2021,11/29/2021,Assisted Living Facility,CLARIDGE HOUSE AT THE BRIDGES (THE),11202 DEWHURST DRIVE,RIVERVIEW,FL,33578,Hillsborough,(813) 413-8900,IN LITIGATION,"BVM THE BRIDGES, LLC",DONNA M STEIERMANN,101,For-Profit,www.bridgesretirement.com
11964530,9059,3/19/2021,3/18/2023,Assisted Living Facility,CLOUDBERRY LODGE AT BRANDON,3918 S KINGS AVE,BRANDON,FL,33511-7749,Hillsborough,(813) 662-1535,LICENSED,TRIDENT ACQUISITION CONSULTANTS I LLC,AARON PFEIFER,54,For-Profit,www.cloudberrylodge.com
11942892,5898,5/1/2022,4/30/2024,Assisted Living Facility,COLONIAL ASSISTED LIVING AT TAMPA FL,11722 NORTH 17TH STREET,TAMPA,FL,33612,Hillsborough,(813) 971-8072,LICENSED,"SUNRISE SENIOR VILLAGE ASSISTED LIVING, INC.",DARCIELLE GRAY,90,For-Profit,www.colonialalf.com
11969051,12914,1/17/2023,1/16/2025,Assisted Living Facility,COMFORT CARE ALF OF TAMPA BAY INC,2513 W VIOLET ST,TAMPA,FL,33614,Hillsborough,(813) 455-6536,LICENSED,COMFORT CARE ALF OF TAMPA BAY INC,MAYOL DORINDA,5,For-Profit,
11910033,4110,5/1/2022,4/30/2024,Assisted Living Facility,CONCORDIA VILLAGE OF TAMPA,4100 E FLETCHER AVE,TAMPA,FL,33613-4863,Hillsborough,(813) 632-2430,LICENSED,CONCORDIA OF FLORIDA INC,AGNES LYNETTE TURK,175,Not-For-Profit,www.concordialm.org
11968604,12485,7/2/2022,7/1/2024,Assisted Living Facility,CONSUELOS ALF,4401 W BALLAST POINT BLVD,TAMPA,FL,33611-5601,Hillsborough,(813) 775-8689,LICENSED,CONSUELO'S ALF INC,MASSIEL REYNALDO,6,For-Profit,
11968751,12642,2/28/2022,2/27/2024,Assisted Living Facility,CROSSINGS AT RIVERVIEW THE,8451 US HWY 301 S,RIVERVIEW,FL,33578,Hillsborough,(813) 671-0222,LICENSED,WP CROSSINGS SR-FL HOLDER LLC,ELIZABETH DONFILA,104,For-Profit,thecrossingsatriverview.com
11969378,13160,4/27/2022,4/26/2024,Assisted Living Facility,DAYI'S SUNFLOWERS ALF LLC,5739 RIDGESTONE DR,TAMPA,FL,33625,Hillsborough,(813) 203-9277,LICENSED,DAYI'S SUNFLOWERS ALF . LLC,CARLOS A HERNANDEZ,6,For-Profit,
11968767,12623,10/30/2022,10/29/2024,Assisted Living Facility,DE LAS MERCEDES ALF CORP,7012 N ORLEANS AVE,TAMPA,FL,33604,Hillsborough,(813) 785-2894,LICENSED,DE LAS MERCEDES ALF CORP,DAILY PENA PORRAS,6,For-Profit,
11968231,12172,4/16/2022,4/15/2024,Assisted Living Facility,DEBRA'S ASSISTED LIVING FACILITY,1314 E LOUISE AVE,TAMPA,FL,33603,Hillsborough,(813) 546-4884,LICENSED,DEBRA'S DIVINE CARE INC,DEBRA A WALLACE,6,For-Profit,N/A
11969190,12993,6/25/2021,6/24/2023,Assisted Living Facility,DISCOVERY VILLAGE AT TAMPA PALMS,17470 BROOKSIDE TRACE CT,TAMPA,FL,33647,Hillsborough,(813) 605-2400,LICENSED,BRITTON (TAMPA PALMS)TRS LLC,ANGELINE HERNANDEZ,120,For-Profit,DiscoveryVillages.com
11969503,13328,6/30/2022,6/29/2024,Assisted Living Facility,DISCOVERY VILLAGE AT WESTCHASE,11330 COUNTRYWAY BOULEVARD,TAMPA,FL,33626,Hillsborough,(813) 670-3272,LICENSED,WESTCHASE FL SENIOR HOUSING OPCO LLC,DUSTIN ISABELL,140,For-Profit,Discoveryvillages.com
11969952,13687,2/17/2022,1/26/2024,Assisted Living Facility,DIVINE OASIS ALF LLC,918 RIDGELAND LN,VALRICO,FL,33594,Hillsborough,(305) 988-0333,LICENSED,DIVINE OASIS ALF LLC,MARIBEL PAGAN,6,For-Profit,
11967632,11672,1/6/2022,1/5/2024,Assisted Living Facility,DLM HOME CARE SERVICES ALF,8416 BARRETT PLACE,TAMPA,FL,33617,Hillsborough,(813) 443-5121,LICENSED,DLM HOME CARE SERVICES LLC,DAVID FRANKLIN MOYERS,6,For-Profit,dlmhomecare.com
11968036,12075,2/8/2022,2/7/2024,Assisted Living Facility,DORA ASSISTED LIVING FACILITY INC,7009 JEAN CT,TAMPA,FL,33634,Hillsborough,(813) 415-2768,LICENSED,DORA ASSISTED LIVING FACILITY INC,MAGDA OLIVERA,6,For-Profit,
11969154,12994,7/18/2021,7/17/2023,Assisted Living Facility,"DOROTHY CARES ALF, LLC",11626 TROPICAL ISLE LN,RIVERVIEW,FL,33579,Hillsborough,(813) 862-8871,LICENSED,"DOROTHY CARES ALF, LLC",DOROTHY ARAUJO,6,For-Profit,www.dorothycaresalf.com
11969253,13055,11/27/2021,11/26/2023,Assisted Living Facility,DOROTHY CARES II ALF,10427 CRESTFIELD DR,RIVERVIEW,FL,33569,Hillsborough,(813) 862-8871,LICENSED,"DOROTHY CARES ALF, LLC",DOROTHY ARAUJO,6,For-Profit,www.dorothycaresalf.com
11969523,13302,9/4/2021,9/3/2023,Assisted Living Facility,EL COCHERO ALF CORP,3012 ROBSON ST,TAMPA,FL,33614,Hillsborough,(813) 512-6012,LICENSED,EL COCHERO ALF CORP,MARILIN MACHADO,6,For-Profit,
11969113,12938,3/1/2022,2/29/2024,Assisted Living Facility,EL OASIS ADULT CARE,2307 W ST JOSEPH ST,TAMPA,FL,33607,Hillsborough,(813) 554-2065,LICENSED,EL OASIS ASSISTED LIVING FACILITY INC.,LEYNER DIAZ,6,For-Profit,
11968621,12483,6/26/2022,6/25/2024,Assisted Living Facility,EL OASIS ALF II INC,2806 W KIRBY ST,TAMPA,FL,33614,Hillsborough,(813) 252-6112,LICENSED,EL OASIS ALF II INC,LEYSEL DIAZ,6,For-Profit,
11968064,12074,1/3/2022,1/2/2024,Assisted Living Facility,EL OASIS ALF INC,6612 NORTH HALE AVENUE,TAMPA,FL,33614,Hillsborough,(813) 402-2127,LICENSED,EL OASIS ASSISTED LIVING FACILITY INC.,LEYSEL DIAZ,6,For-Profit,
11942977,6124,10/22/2021,10/21/2023,Assisted Living Facility,ELYSIAN GARDENS ASSISTED LIVING FACILITY OF TAMPA,312 E 124TH AVE,TAMPA,FL,33612-4305,Hillsborough,(813) 932-3618,LICENSED,ELYSIAN GARDENS LLC,TIFFENY CLAYTON,50,For-Profit,www.Elysian-gardens.com
11969348,13150,11/11/2021,10/31/2023,Assisted Living Facility,EMBASSY BRANDON LLC,1320 OAKFIELD DR,BRANDON,FL,33511,Hillsborough,(813) 607-6880,LICENSED,EMBASSY BRANDON LLC,WANDA-SUE BLAKEY,146,For-Profit,www.tessarabrandon.com
11968434,12347,11/15/2022,5/15/2023,Assisted Living Facility,EMMA'S CREEK ALF,11207 COCOA BEACH DR,RIVERVIEW,FL,33569,Hillsborough,(813) 847-5766,PROVISIONAL,EMMA'S CREEK ALF LLC,KEIRSTEN SANDERS,6,For-Profit,
11967883,11880,9/27/2021,9/26/2023,Assisted Living Facility,ERIKA'S HOUSE ALF,8301 N GOMEZ AVE,TAMPA,FL,33614-2814,Hillsborough,(813) 933-5953,LICENSED,CARE A LOT HOMES LLC,LADAWN RIVERA,6,For-Profit,
11968323,12223,12/5/2022,12/4/2024,Assisted Living Facility,"ESTATE AT HYDE PARK, (THE)",2301 W PALM DR,TAMPA,FL,33629,Hillsborough,(813) 251-6333,LICENSED,"ARHC HBTPAFLO1 TRS, LLC",LINDA CARTWRIGHT,95,For-Profit,www.seniorlifestyle.com
11968557,12447,3/16/2022,3/16/2024,Assisted Living Facility,FAITH HOME CARE ALF INC,114 EUCLID AVE,SEFFNER,FL,33584,Hillsborough,(813) 689-1922,LICENSED,FAITH HOME CARE ALF INC,ROSALYN GREEN,5,For-Profit,https://www.faithhomecarealf.com
11932571,4653,7/31/2022,7/30/2024,Assisted Living Facility,FEEL AT HOME INC,129 W 131 AVE,TAMPA,FL,33612-3443,Hillsborough,(813) 933-9845,LICENSED,"FEEL AT HOME, INC.",ADEYEMI ONIKEKU,16,For-Profit,Feelathomealf.com
